,x,y,potential,ax,ay
1,-3.864406779661017,-3.864406779661017,-15.116667523541098,-3.8407441065792867,-3.84074410032027
2,-3.7288135593220337,-3.7288135593220337,-14.09372884811861,-3.7033973255278783,-3.703397318358256
3,-3.593220338983051,-3.593220338983051,-13.108063508143578,-3.5658483549215343,-3.5658483466695303
4,-3.457627118644068,-3.457627118644068,-12.15973058303336,-3.4280648644110703,-3.4280648548645107
5,-3.3220338983050848,-3.3220338983050848,-11.248798797826275,-3.2900077934595426,-3.290007782354324
6,-3.1864406779661016,-3.1864406779661016,-10.375348575441864,-3.151629597357475,-3.151629584362104
7,-3.0508474576271185,-3.0508474576271185,-9.539474636210713,-3.01287193581748,-3.0128719205121257
8,-2.915254237288136,-2.915254237288136,-8.741289322854682,-2.8736625921024763,-2.873662573950228
9,-2.7796610169491522,-2.7796610169491522,-7.980926898632387,-2.733911315384416,-2.7339112936913343
10,-2.6440677966101696,-2.6440677966101696,-7.258549167991516,-2.593504133739609,-2.593504107598392
11,-2.5084745762711864,-2.5084745762711864,-6.574352920136053,-2.452295459359159,-2.452295427568451
12,-2.3728813559322033,-2.3728813559322033,-5.928579924674883,-2.3100969492149566,-2.3100969101617705
13,-2.2372881355932206,-2.2372881355932206,-5.321530562053387,-2.166661502740652,-2.1666614542257534
14,-2.101694915254237,-2.101694915254237,-4.7535827302839255,-2.0216598098192913,-2.0216597487923704
15,-1.9661016949152543,-1.9661016949152543,-4.225218575155585,-1.8746452049002904,-1.8746451270487656
16,-1.8305084745762712,-1.8305084745762712,-3.737063100544795,-1.7249996556995912,-1.7249995547930745
17,-1.694915254237288,-1.694915254237288,-3.2899413116885388,-1.5718483592572583,-1.5718482260707474
18,-1.559322033898305,-1.559322033898305,-2.884965172363543,-1.4139202195315685,-1.4139200400150487
19,-1.4237288135593222,-1.4237288135593222,-2.5236702519281855,-1.2493111473129137,-1.2493108993542967
20,-1.288135593220339,-1.288135593220339,-2.2082386758506094,-1.0750643659944652,-1.0750640134228728
21,-1.152542372881356,-1.152542372881356,-1.9418794532724872,-0.8863861887822383,-0.8863856696277146
22,-1.0169491525423728,-1.0169491525423728,-1.7295130670578327,-0.6750848220475785,-0.675084023960842
23,-0.8813559322033897,-0.8813559322033897,-1.5790879941866645,-0.4262095653263847,-0.4262082696356396
24,-0.7457627118644066,-0.7457627118644066,-1.50433343315458,-0.11006077292036298,-0.11005851290725777
25,-0.6101694915254239,-0.6101694915254239,-1.5311823439336547,0.33946118543260495,0.33946553893994236
26,-0.47457627118644075,-0.47457627118644075,-1.7152054502051395,1.0952238646872463,1.0952335887828115
27,-0.3389830508474576,-0.3389830508474576,-2.2008870435067713,2.7378303944295634,2.737858225337005
28,-0.20338983050847448,-0.20338983050847448,-3.5180058676790056,8.343341040913831,8.343473750849265
29,-0.06779661016949134,-0.06779661016949134,-10.434670554359842,76.85398074448061,76.85760899945001
30,0.06779661016949134,0.06779661016949134,-10.434178701078702,-76.85034369095825,-76.846717256606
31,0.20338983050847492,0.20338983050847492,-3.517952439417754,-8.34319986860975,-8.343071162794693
32,0.3389830508474576,0.3389830508474576,-2.200869342918179,-2.737794563728735,-2.7377733250769074
33,0.4745762711864403,0.4745762711864403,-1.715197857440064,-1.0952072731522244,-1.0952057044294463
34,0.6101694915254239,0.6101694915254239,-1.5311788273995262,-0.3394519097793185,-0.3394553592824767
35,0.7457627118644066,0.7457627118644066,-1.504331740418654,0.11006598046561145,0.11006216597395746
36,0.8813559322033901,0.8813559322033901,-1.5790871393003807,0.42621242901713197,0.42620953170108883
37,1.0169491525423728,1.0169491525423728,-1.7295126086784336,0.6750864062418713,0.6750844405989207
38,1.1525423728813555,1.1525423728813555,-1.941879191750993,0.8863870903084777,0.8863857928781427
39,1.288135593220339,1.288135593220339,-2.2082385178023327,1.0750648988233444,1.0750640367236926
40,1.4237288135593218,1.4237288135593218,-2.523670151462379,1.2493114748593022,1.2493108906039538
41,1.5593220338983054,1.5593220338983054,-2.8849651056720846,1.4139204284940823,1.4139200230186515
42,1.694915254237288,1.694915254237288,-3.289941265752707,1.571848497121604,1.571848208904517
43,1.8305084745762707,1.8305084745762707,-3.7370630678939936,1.7249997494166793,1.724999539872186
44,1.9661016949152543,1.9661016949152543,-4.225218551314114,1.8746452703144665,1.8746451147841428
45,2.101694915254237,2.101694915254237,-4.753582712466202,2.0216598565586907,2.0216597389382915
46,2.2372881355932206,2.2372881355932206,-5.321530548466508,2.166661536836375,2.1666614463733636
47,2.3728813559322033,2.3728813559322033,-5.9285799141301805,2.3100969745505275,2.3100969039111168
48,2.508474576271187,2.508474576271187,-6.574352911824541,2.4522954784983915,2.452295422579504
49,2.6440677966101696,2.6440677966101696,-7.258549161349657,2.5935041484136594,2.5935041035979176
50,2.7796610169491522,2.7796610169491522,-7.980926893259398,2.733911326786303,2.733911290465243
51,2.915254237288136,2.915254237288136,-8.741289318460186,2.873662601069719,2.8736625713325763
52,3.0508474576271185,3.0508474576271185,-9.53947463258078,3.0128719429480117,3.0128719183747186
53,3.186440677966102,3.186440677966102,-10.37534857241649,3.1516296030847895,3.1516295826058327
54,3.3220338983050848,3.3220338983050848,-11.248798795284126,3.2900077981023657,3.2900077809023243
55,3.4576271186440675,3.4576271186440675,-12.15973058088128,3.42806486820679,3.4280648536569007
56,3.593220338983051,3.593220338983051,-13.108063506309238,3.5658483580490734,3.5658483456594134
57,3.7288135593220337,3.7288135593220337,-14.093728846545233,3.7033973281235797,3.7033973175086943
58,3.8644067796610173,3.8644067796610173,-15.116667522183699,3.84074410874811,3.840744099602
59,4.0,4.0,-16.17682846458596,3.977915645126739,3.9779156372044424
